City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,carauari,-4.8828,-66.8958,26.38,75,87,1.5,BR,1689287870
287,dire dawa,9.5931,41.8661,23.5,60,45,10.02,ET,1689287871
288,khovd,48.0056,91.6419,19.21,47,2,0.8,MN,1689287871
289,kailua-kona,19.6406,-155.9956,29.98,75,20,5.14,US,1689287605
290,dawei,14.0833,98.2,25.16,92,68,0.25,MM,1689287871
291,bridgewater,44.3835,-64.5155,23.82,69,46,2.06,CA,1689287871
292,ujae,8.9322,165.7642,28.52,79,30,6.85,MH,1689287872
293,newman,37.3138,-121.0208,37.19,10,0,3.01,US,1689287872
294,port-vila,-17.7338,168.3219,22.78,73,75,9.26,VU,1689287872
295,urzhar,47.093,81.6294,23.16,29,0,2.34,KZ,1689287872
296,laguna,38.421,-121.4238,38.43,30,0,2.57,US,1689287872
297,semporna,4.4818,118.6112,25.17,91,100,4.85,MY,1689287873
298,cururupu,-1.8283,-44.8683,23.72,93,9,1.47,BR,1689287873
299,puri,19.8,85.85,27.29,83,100,7.44,IN,1689287873
300,taoudenni,22.6783,-3.9836,37.88,9,13,4.57,ML,1689287874
301,teguise,29.0605,-13.564,23.12,73,0,6.17,ES,1689287874
302,morondava,-20.2833,44.2833,19.7,60,0,4.5,MG,1689287874
303,loikaw,19.6742,97.2094,20.31,88,83,0.75,MM,1689287874
304,bel ombre,-4.6167,55.4167,25.91,78,20,4.63,SC,1689287875
305,pasni,25.2631,63.471,28.41,76,100,3.54,PK,1689287875
306,georgetown,5.4112,100.3354,27.35,92,20,0.51,MY,1689287836
307,dzhalagash,45.0833,64.6667,25.04,34,0,5.41,KZ,1689287875
308,ocos,14.5094,-92.1933,29.1,69,78,3.63,GT,1689287876
309,shats'k,51.5021,23.9381,16.16,96,100,2.85,UA,1689287876
310,hami,42.8,93.45,26.61,20,0,3.61,CN,1689287876
311,saipan,15.1355,145.701,29.39,100,40,7.2,MP,1689287876
312,mhamid,29.82,-5.72,36.96,15,71,5.45,MA,1689287877
313,bovalino,38.149,16.174,27.94,52,0,3.06,IT,1689287877
314,kennett,36.2362,-90.0556,32.2,67,100,4.63,US,1689287877
315,carnarvon,-24.8667,113.6333,16.96,80,2,3.95,AU,1689287877
316,berdigestyakh,62.0989,126.6992,14.85,77,49,2.3,RU,1689287878
317,wotho,10.1657,166.0102,28.22,80,38,7.71,MH,1689287878
318,acapulco de juarez,16.8634,-99.8901,31.9,70,20,6.17,MX,1689287844
319,bu'aale,1.0833,42.5833,22.37,88,59,2.98,SO,1689287878
320,aksu,41.1231,80.2644,25.81,23,0,1.85,CN,1689287879
321,hailar,49.2,119.7,17.02,97,100,4.2,CN,1689287879
322,hammerfest,70.6634,23.6821,18.25,68,75,3.09,NO,1689287879
323,fisterra,42.9049,-9.2629,17.64,81,7,4.82,ES,1689287879
324,santa rosa de copan,14.7667,-88.7833,26.64,57,40,0.0,HN,1689287637
325,dalbandin,28.8947,64.4101,32.48,10,3,3.07,PK,1689287860
326,puerto carreno,6.189,-67.4859,29.99,74,40,1.03,CO,1689287880
327,chegdomyn,51.1167,133.0167,23.27,60,100,0.61,RU,1689287880
328,albardon,-31.4372,-68.5256,9.08,40,6,0.86,AR,1689287881
329,myslakowice,50.8412,15.7789,15.55,84,43,1.62,PL,1689287881
330,kruisfontein,-34.0033,24.7314,10.1,68,0,2.32,ZA,1689287881
331,revda,56.801,59.9303,10.03,88,80,1.56,RU,1689287881
332,walvis bay,-22.9575,14.5053,18.38,48,0,3.09,NA,1689287882
